Date,Time,Tweet,Client,Client Simplified,,,,,,,,,,,,,,,
10/9/16,10:30:02 PM,"RT @DonaldJTrumpJr: Ironic since Hillary has gotten a lot more of that dark unaccountable money"" into her campaign. #debates""""T @DonaldJTrumpJr: Ironic since Hillary has gotten a """,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/9/16,10:25:20 PM,"RT @TeamTrump: She calls our people deplorable and irredeemable. I will be a president for ALL of our people."" - @RealDonaldTrump #BigLeag…""""T @TeamTrump: ""She calls our people deplorable and irredeemable. I will be a president for ALL of our people."" - @RealDonald"""" @TeamTrump: ""She calls our people deplorable and irredeemable. I will be a president for ALL of our people.""""""@TeamTrump: ""She calls our people deplorable and irredeemable. I will be a president for ALL of""""TeamTrump: ""She calls our people deplorable and irredeemable. I will be a presiden""""eamTrump: ""She calls our people deplorable and irredeemable. I will be""""amTrump: ""She calls our people deplorable and irredeemable.""""mTrump: ""She calls our people deplorable and irre""""Trump: ""She calls our people deplorable """"rump: ""She calls our people depl""""ump: ""She calls our peopl""""mp: ""She calls our """"p: ""She calls """": ""She cal"""" ""She c""""""She """"She """,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/9/16,10:25:04 PM,"RT @KellyannePolls: After a decent first debate, @HillaryClinton is back to form: pedantic, lawyerly, technocratic, (woefully untruthful) r…",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/9/16,10:24:50 PM,Our country has the slowest growth since 1929. #BigLeagueTruth #debate,Twitter Web Client,Twitter Web Client,,,,,,,,,,,,,,,
10/9/16,10:24:29 PM,RT @DanScavino: WE LOVE OUR DEPLORABLES!!! #TrumpTrain #Debates2016 https://t.co/2Nt9ID3tV7,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/9/16,10:23:21 PM,@AC360: “How can you unite a country if you’ve written off tens of millions of Americans?” #Deplorables #BigLeagueTruth #Debate,Twitter Web Client,Twitter Web Client,,,,,,,,,,,,,,,
10/9/16,10:21:50 PM,This country cannot take four more years of Barack Obama! #Debate,Twitter Web Client,Twitter Web Client,,,,,,,,,,,,,,,
10/9/16,10:20:35 PM,"We agree @POTUS- SHE'LL (Hillary Clinton) SAY ANYTHING & CHANGE NOTHING. IT'S TIME TO TURN THE PAGE"" -President Obama""""e agree @POTUS- ""SHE'LL (Hillary Clinton) SAY ANYTHING & CHANGE NOTHING. IT'S TIME TO TURN THE PAGE"""""" agree @POTUS- ""SHE'LL (Hillary Clinton) SAY ANYTHING & CHANGE NOTHING. IT'S TIME T""""agree @POTUS- ""SHE'LL (Hillary Clinton) SAY ANYTHING & CHANGE NOTHI""""gree @POTUS- ""SHE'LL (Hillary Clinton) SAY ANYTHING """"ree @POTUS- ""SHE'LL (Hillary Clinton) """"ee @POTUS- ""SHE'LL (Hilla""""e @POTUS- ""SH"""" @""",Twitter Web Client,Twitter Web Client,,,,,,,,,,,,,,,
10/9/16,10:19:35 PM,"If @HillaryClinton is president, she’ll be all talk and nothing will get done. #Debate #BigLeagueTruth",Twitter Web Client,Twitter Web Client,,,,,,,,,,,,,,,
10/9/16,10:18:37 PM,"FACT __ on “red line” in Syria: HRC I wasn’t there."" Fact: line drawn in Aug ’12. HRC Secy of State til Feb ’13. https://t.co/4yZjH3TR5B""""ACT __ on “red line” in Syria: HRC ""I wasn’t there."" Fact: line drawn in Aug ’12. HRC Secy of State """"CT __ on “red line” in Syria: HRC ""I wasn’t there."" Fact: line d""""T __ on “red line” in Syria: """,Twitter Web Client,Twitter Web Client,,,,,,,,,,,,,,,
10/9/16,10:15:24 PM,"In my administration, EVERY American will be treated equally, protected equally, and honored equally #Debate #BigLeagueTruth",Twitter Web Client,Twitter Web Client,,,,,,,,,,,,,,,
10/9/16,10:14:59 PM,RT @TeamTrump: It's hard to fight terrorism when you're making cash payments to the world's LARGEST state sponsor of TERROR. Under Trump: N…,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/9/16,10:12:56 PM,RT @TeamTrump: .@HillaryClinton had her chance and she BLEW IT. #BigLeagueTruth #Debates https://t.co/d2MI0DCg5Y,Twitter Web Client,Twitter Web Client,,,,,,,,,,,,,,,
10/9/16,10:12:38 PM,"RT @TeamTrump: We are going to be THRIVING again."" - @realDonaldTrump #BigLeagueTruth #Debates2016 https://t.co/CaFOF7jS7k""""T @TeamTrump: ""We are going to be THRIVING again."" - @realDonaldTrump #BigLeagueTruth #Debates2016 https://"""" @TeamTrump: ""We are going to be THRIVING again."" - @realDonaldTrump #BigLeagueTruth #Debate""""@TeamTrump: ""We are going to be THRIVING again."" - @realDonaldTrump #BigLeague""""TeamTrump: ""We are going to be THRIVING again."" - @realDonaldTrum""""eamTrump: ""We are going to be THRIVING again."" - @rea""""amTrump: ""We are going to be THRIVING agai""""mTrump: ""We are going to be THRI""""Trump: ""We are going to""""rump: ""We are g""""ump: ""We""""mp""",Twitter Web Client,Twitter Web Client,,,,,,,,,,,,,,,
10/9/16,10:11:26 PM,We cannot let this evil continue! #Debates2016 https://t.co/f6BxYyRJID,Twitter Web Client,Twitter Web Client,,,,,,,,,,,,,,,
10/9/16,10:09:51 PM,This is the definition of ransom _ https://t.co/370piI2JLp,Twitter Web Client,Twitter Web Client,,,,,,,,,,,,,,,
10/9/16,10:08:51 PM,"RT @JasonMillerinDC: Is @realDonaldTrump debating Crooked @HillaryClinton or the moderators, @AC360 and @MarthaRaddatz? #rattledhillary",Twitter Web Client,Twitter Web Client,,,,,,,,,,,,,,,
10/9/16,10:07:58 PM,"The world is most peaceful, and most prosperous when America is strongest. https://t.co/Y2Dx7xyBBs",Twitter Web Client,Twitter Web Client,,,,,,,,,,,,,,,
10/9/16,10:06:41 PM,"Here are Hillary Clinton's accomplishments"" at the State Department. #Debates2016 #RattledHillary https://t.co/iouuqXYAdq""""ere are Hillary Clinton's ""accomplishments"" at the State Department. #Debates2016 #RattledHill""""re are Hillary Clinton's ""accomplishments"" at the State Department.""""e are Hillary Clinton's ""accomplishments"""""" are Hillary Cli""",Twitter Web Client,Twitter Web Client,,,,,,,,,,,,,,,
10/9/16,10:03:01 PM,RT @TeamTrump: #RattledHillary wants to talk about her 30 years in service. How about her 30 years of FLOPS__FLOPS?! #BigLeagueTruth #Debat…,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/9/16,10:02:28 PM,RT @TeamTrump: .@HillaryClinton is RAISING your taxes to a disastrous level. @realDonaldTrump is going to LOWER your taxes - BIG LEAGUE! #D…,Twitter Web Client,Twitter Web Client,,,,,,,,,,,,,,,
10/9/16,10:00:31 PM,"History lesson: There’s a big difference between Hillary Clinton and Abraham Lincoln. For one, his nickname is Hone… https://t.co/A5JDkz1eCE",Twitter Web Client,Twitter Web Client,,,,,,,,,,,,,,,
10/9/16,9:57:38 PM,We're going to cut taxes BIG LEAGUE for the middle class. She's raising your taxes and I'm lowering your taxes! https://t.co/ZwIkqNH2FX,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/9/16,9:51:33 PM,"YOU NEED BOTH A PUBLIC AND A PRIVATE POSITION"" @HillaryClinton #Debates2016 https://t.co/oI2qi2HAdO""""YOU NEED BOTH A PUBLIC AND A PRIVATE POSITION"" @HillaryClinton #Debates2016 https://t.co/oI2qi2HAdO""""OU NEED BOTH A PUBLIC AND A PRIVATE POSITION"" @Hillar""""U NEED B""",Twitter Web Client,Twitter Web Client,,,,,,,,,,,,,,,
10/9/16,9:50:45 PM,Hypocrite! @HillaryClinton claims she needs a “public and a private stance” in discussions with Wall Street banks. #Debate,Twitter Web Client,Twitter Web Client,,,,,,,,,,,,,,,
10/9/16,9:49:56 PM,I hope when the MSM runs its “interruption counters” they consider the # of times the moderators interrupted me com… https://t.co/pHEjp8bZVP,Twitter Web Client,Twitter Web Client,,,,,,,,,,,,,,,
10/9/16,9:48:19 PM,.@HillaryClinton - ITS CALLED EXTREME VETTING! #Debates2016 https://t.co/ueq7cbOg9Y,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/9/16,9:45:16 PM,".@HillaryClinton #ICYMI- WE ARE NOT IN A NARRATIVE FIGHT."" @Mike_Pence #MAGA https://t.co/FUQzXlyPwY""""@HillaryClinton #ICYMI- ""WE ARE NOT IN A NARRATIVE FIGHT."" @Mike_Pence #MAG""""HillaryClinton #ICYMI- ""WE ARE NOT IN A NARRATIVE """"illaryClinton #ICYMI- ""WE """"lla""",Twitter Web Client,Twitter Web Client,,,,,,,,,,,,,,,
10/9/16,9:44:29 PM,RT @TeamTrump: ONLY @realDonaldTrump will end what even @BillClinton called a CRAZY SYSTEM. #BigLeagueTruth #Debate https://t.co/cgoqZLDXDV,Twitter Web Client,Twitter Web Client,,,,,,,,,,,,,,,
10/9/16,9:43:04 PM,#CrookedHillary has FAILED all over the world! _x10fc00_ #BigLeagueTruth #Debates2016 https://t.co/dalk9JKcFg,Twitter Web Client,Twitter Web Client,,,,,,,,,,,,,,,
10/9/16,9:40:11 PM,RT @realDonaldTrump: ATTN: @HillaryClinton - Why did five of your staffers need FBI IMMUNITY?! #BigLeagueTruth #Debates,Twitter Web Client,Twitter Web Client,,,,,,,,,,,,,,,
10/9/16,9:37:50 PM,.@HillaryClinton is NOT above the law! #Debates2016 https://t.co/4arYZcGgYZ,Twitter Web Client,Twitter Web Client,,,,,,,,,,,,,,,
10/9/16,9:36:40 PM,"RT @TeamTrump: We agree with Bill, ObamaCare is “the craziest thing in the world.” #BigLeagueTruth #Debates2016 https://t.co/v2yo6pSYoB",Twitter Web Client,Twitter Web Client,,,,,,,,,,,,,,,
10/9/16,9:36:24 PM,.@HillaryClinton : Bill “clarified” what he meant when calling Obamacare a “disaster.” Actually “disaster” is pretty clear. #Debate,Twitter Web Client,Twitter Web Client,,,,,,,,,,,,,,,
10/9/16,9:35:26 PM,"We must repeal Obamacare and replace it with a much more competitive, comprehensive, affordable system. #debate #MAGA",Twitter Web Client,Twitter Web Client,,,,,,,,,,,,,,,
10/9/16,9:32:10 PM,Obama and Clinton told the same lie to sell #ObamaCare. #Debates2016 https://t.co/vhOLtHrR66,Twitter Web Client,Twitter Web Client,,,,,,,,,,,,,,,
10/9/16,9:29:45 PM,ATTN: @HillaryClinton - Why did five of your staffers need FBI IMMUNITY?! #BigLeagueTruth #Debates,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/9/16,9:29:17 PM,"Hillary’s 33,000 deleted emails about her daughter’s wedding. That’s a lot of wedding emails. #debate",Twitter Web Client,Twitter Web Client,,,,,,,,,,,,,,,
10/9/16,9:28:36 PM,Basically nothing Hillary has said about her secret server has been true. #CrookedHillary,Twitter Web Client,Twitter Web Client,,,,,,,,,,,,,,,
10/9/16,9:27:04 PM,If I win-I am going to instruct my AG to get a special prosecutor to look into your situation bc there's never been anything like your lies.,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/9/16,9:24:50 PM,RT @TeamTrump: RT if you believe @HillaryClinton is the one who owes America an apology! #BigLeagueTruth #Debates https://t.co/KcmDedSUTw,Twitter Web Client,Twitter Web Client,,,,,,,,,,,,,,,
10/9/16,9:24:47 PM,Donald J. Trump's History Of Empowering Women #BigLeagueTruth https://t.co/oY2YSPz7nB,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/9/16,9:23:22 PM,There’s never been anyone more abusive to women in politics than Bill Clinton.My words were unfortunate-the Clintons’ actions were far worse,Twitter Web Client,Twitter Web Client,,,,,,,,,,,,,,,
10/9/16,9:16:36 PM,"RT @TeamTrump: Quite simply, @HillaryClinton mistreats women. #BigLeagueTruth #Debate2016 https://t.co/zhgrulIctf https://t.co/wHtwtnCxxQ",Twitter Web Client,Twitter Web Client,,,,,,,,,,,,,,,
10/9/16,9:13:03 PM,I’m not proud of my locker room talk. But this world has serious problems. We need serious leaders. #debate #BigLeagueTruth,Twitter Web Client,Twitter Web Client,,,,,,,,,,,,,,,
10/9/16,9:11:51 PM,RT @TeamTrump: .@realDonaldTrump is here to talk about the REAL issues #BigLeagueTruth #Debates2016 https://t.co/C5OF7HdJz6,Twitter Web Client,Twitter Web Client,,,,,,,,,,,,,,,
10/9/16,9:11:26 PM,It’s this simple. “Make America Great Again.” #debate #BigLeagueTruth,Twitter Web Client,Twitter Web Client,,,,,,,,,,,,,,,
10/9/16,9:08:45 PM,RT @TeamTrump: .@HillaryClinton just claimed she has a positive," optimistic view"" for America. #Debates https://t.co/hOWJYZbD7v""""T @TeamTrump: .@HillaryClinton just claimed she has a ""positive"," optimis"""" @TeamTrump: .@Hi""",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,
10/9/16,8:24:46 PM,My team of deplorables will be taking over my Twitter account for tonight's #debate #MakeAmericaGreatAgain,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/9/16,7:26:24 PM,Join me on #FacebookLive as I conclude my final #debate preparations. https://t.co/gAbNvI8Fd7,Twitter Web Client,Twitter Web Client,,,,,,,,,,,,,,,
10/9/16,6:26:27 PM,The Palestinian terror attack today reminds the world of the grievous perils facing Israeli citizens....continued: https://t.co/d2Upx5FitC,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/9/16,1:16:50 PM,"Exclusive Video–Broaddrick, Willey, Jones to Bill's Defenders: ‘These Are Crimes,’ ‘Terrified’ of ‘Enabler’ Hillary https://t.co/DMfLsIbtU1",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/9/16,12:02:35 PM,LA Times- USC Dornsife Sunday Poll: Donald Trump Retains 2 Point Lead Over Hillary: https://t.co/n05rul4Ycw,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/9/16,10:12:23 AM,So many self-righteous hypocrites. Watch their poll numbers - and elections - go down!,Twitter for Android,Twitter for Android,,,,,,,,,,,,,,,
10/9/16,10:05:17 AM,"@HenryLeledog: @realDonaldTrump This Black Democrat is on the ""TRUMP TRAIN""!!""""""@HenryLeledog: @realDonaldTrump This Black Democrat is on the ""TRUMP TRAIN""!!""""""HenryLeledog: @""",Twitter for Android,Twitter for Android,,,,,,,,,,,,,,,
10/9/16,10:04:28 AM,@maidaa17: @realDonaldTrump GOP traitors! Not supporting U is voting for her," destroying America.""""@maidaa17: @realDonaldTrump GOP traitors! Not supporting U is voting for her"," destroying America.""",Twitter for Android,Twitter for Android,,,,,,,,,,,,,
10/9/16,10:03:24 AM,"@CharleneOsbor17: @realDonaldTrump politicians don't count. It's the people. We are behind trump all the way to White House.""""""@CharleneOsbor17: @realDonaldTrump politicians don't count. It's the people. We are behind trump all the way to White House.""""""""",Twitter for Android,Twitter for Android,,,,,,,,,,,,,,,
10/9/16,10:02:28 AM,"@eericmyers: @realDonaldTrump ""Republican leadership"" should have only one job: Help elect the nominee we voted for"," Donald J. Trump.""""""@eericmyers: @realDonaldTrump ""Republican leadership"" should have only one job: Help elect the nominee we voted for"," Donald J. Trump.""""""eericmyers: @realDonaldTrump ""Republican leadership"" should have only one job: Help elect the nominee w""""ericmyers: @realDonaldTrump ""Republican leadership"" should have only one """"ricmyers: @realDonaldTrump ""Republican leade""""icmyers: @realDo""",Twitter for Android,Twitter for Android,,,,,,,,,,,,,
10/9/16,10:01:33 AM,"@Jodygirl1010: @realDonaldTrump I am a woman who continues to support & stand with #Trump! #dtmag https://t.co/nFmY3FJuEf"" Thank you.""""@Jodygirl1010: @realDonaldTrump I am a woman who continues to support & stand with #Trump! #dtmag https://t.co/nFmY3FJuEf"" Thank you.""""Jodygirl101""",Twitter for Android,Twitter for Android,,,,,,,,,,,,,,,
10/9/16,9:17:02 AM,EXCLUSIVE — Video Interview: Bill Clinton Accuser Juanita Broaddrick Relives Brutal Rapes: https://t.co/9j7f8VK9Md,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/9/16,9:00:51 AM,"Tremendous support (except for some Republican leadership""). Thank you.""""remendous support (excep""",Twitter for Android,Twitter for Android,,,,,,,,,,,,,,,
10/8/16,8:38:52 PM,Thank you to my great supporters in Wisconsin. I heard that the crowd and enthusiasm was unreal!,Twitter for Android,Twitter for Android,,,,,,,,,,,,,,,
10/8/16,6:41:10 PM,"RT @atensnut: Hillary calls Trump's remarks horrific"" while she lives with and protects a ""Rapist"". Her actions are horrific.""""T @atensnut: Hillary calls Trump's remarks ""horrific"" while she lives with and pr"""" @atensnut: Hillary calls Trump's rem""",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/8/16,6:40:30 PM,RT @atensnut: How many times must it be said? Actions speak louder than words. DT said bad things!HRC threatened me after BC raped me.,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/8/16,3:40:48 PM,"The media and establishment want me out of the race so badly - I WILL NEVER DROP OUT OF THE RACE, WILL NEVER LET MY SUPPORTERS DOWN! #MAGA",Twitter for Android,Twitter for Android,,,,,,,,,,,,,,,
10/8/16,10:48:22 AM,Certainly has been an interesting 24 hours!,Twitter for Android,Twitter for Android,,,,,,,,,,,,,,,
10/8/16,12:19:43 AM,Here is my statement. https://t.co/WAZiGoQqMQ,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/6/16,11:03:48 PM,"Thoughts & prayers with the millions of people in the path of Hurricane Matthew. Look out for neighbors, and listen… https://t.co/JqjyTiKicD",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/6/16,10:18:06 PM,"@kevcirilli: Trump speaking in exact same tone he did in Waterville Valley on 12/1. The night I first realized he was gonna be GOP nominee""""""@kevcirilli: Trump speaking in exact same tone he did in Waterville Valley on 12/1. The night I first realized he was gonna be GOP nominee""""""""",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/6/16,6:54:16 PM,New National Rasmussen Poll: https://t.co/BnAveA5OuP,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/6/16,5:57:35 PM,Thank you Tennessee! #MAGA https://t.co/OoDFmerQ5B,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/6/16,5:51:58 PM,VOTE #TrumpPence16 on 11/8/16! https://t.co/12zAk8VmgK,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/6/16,4:47:49 PM,'Donald Trump: A President for All Americans' https://t.co/3lU2vrUE3t,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/6/16,4:45:38 PM,Volunteer to be a Trump Election Observer. Sign up today! #MakeAmericaGreatAgain https://t.co/ZzFHlsWnh4,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/6/16,2:41:46 PM,"RT @DonaldJTrumpJr: Great group at our Victory Office in Columbus, Ohio. I'm incredibly grateful to have so many… https://t.co/rLJWCAGRlW",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/6/16,2:39:41 PM,RT @IvankaTrump: Thank you Angie Phillips for inviting me to tour your plant Middletown Tube Works. #Ohio https://t.co/fUKiiEIBXT,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/6/16,12:24:43 AM,"Praying for everyone in Florida. Hoping the hurricane dissipates, but in any event, please be careful.",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/6/16,12:08:23 AM,"New Virginia poll- thank you! We are going to show the whole world that America is back – BIGGER, and BETTER, and S… https://t.co/2CikEXb0G7",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/6/16,12:02:19 AM,Pennsylvania poll just released. Two rallies there on Mon- join me! Ambridge: https://t.co/TujWDWcgd3 Wilkes-Barre:… https://t.co/TeIeCttUpP,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/5/16,9:53:05 PM,Nation's Immigration And Customs Enforcement Officers (ICE) Make First-Ever Presidential Endorsement: https://t.co/eO1UY5N9J1,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/5/16,9:32:48 PM,Such a great honor! https://t.co/vt4AmLdkeP,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/5/16,9:15:20 PM,"Amazing rally in Reno, Nevada- thank you. Make sure you get out on 11/8 & VOTE #TrumpPence16. Together, we will put… https://t.co/6gPJhb29xk",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/5/16,7:19:43 PM,Reuters polling just out- thank you! #MakeAmericaGreatAgain https://t.co/UMY6kOiSTu,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/5/16,6:59:52 PM,Thank you South Carolina! Everyone has to get out and VOTE on 11/8/16. #MakeAmericaGreatAgain… https://t.co/os7EmRCdPf,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/5/16,6:57:42 PM,"EARLY VOTING: MN & IA already underway, more states coming up in the next week: OH, ME, AZ, IN — check w/local officials for details & VOTE!",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/5/16,6:02:58 PM,'Small business says Trump is their pick for president' https://t.co/tzVN9QgPFS,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/5/16,5:22:52 PM,Thank you @SenJohnMcCain for your kind remarks on the important issue of PTSD and the dishonest media. Great to be in Arizona yesterday!,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/5/16,5:19:48 PM,"Bill Clinton is right: Obamacare is 'crazy', 'doesn't work' and 'doesn't make sense'. Thanks Bill for telling the truth.",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/5/16,5:11:34 PM,"Thank you Henderson, NV. This is a MOVEMENT like never seen before! Watch some of the rally via my Facebook page:… https://t.co/dNF8G4VUqY",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/5/16,2:53:09 PM,"About to begin a rally here in Henderson, Nevada. New Reuters poll just out- thank you! Join the MOVEMENT:… https://t.co/uvbntNsxGl",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/5/16,2:40:17 PM,Beautiful morning- thank you @ICLV! https://t.co/xzJhrLgjHP,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/5/16,9:28:52 AM,The constant interruptions last night by Tim Kaine should not have been allowed. Mike Pence won big!,Twitter for Android,Twitter for Android,,,,,,,,,,,,,,,
10/4/16,10:36:02 PM,Mike Pence won big. We should all be proud of Mike!,Twitter for Android,Twitter for Android,,,,,,,,,,,,,,,
10/4/16,10:32:12 PM,RT @mike_pence: History teaches us that weakness arouses evil. America needs to be strong on the world stage. #VPDebate https://t.co/FJ59o5…,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/4/16,10:31:22 PM,RT @TeamTrump: RT if you agree - @HillaryClinton & @timkaine are WRONG for America! #VPDebate #MAGA https://t.co/2MZfFzCo6c,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/4/16,10:30:59 PM,RT @TeamTrump: .@timkaine's Abortion Flip-Flops: From Valuing The Sanctity of Life --> Pro-Abortion Demagogue #VPdebate https://t.co/aK4061…,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/4/16,10:28:24 PM,"@AnyoneTennis: @timkaine Cannot believe how often the moderator interrupts #Pence vs the other guy...so obvious @FoxNews"" So true!""""@AnyoneTennis: @timkaine Cannot believe how often the moderator interrupts #Pence vs the other guy...so obvious @FoxNews"" So true!""""AnyoneTen""",Twitter for Android,Twitter for Android,,,,,,,,,,,,,,,
10/4/16,10:27:18 PM,@Gsimmons03Ginny: @realDonaldTrump ..Kaine is awful, Trump and Pence are the ticket..no more lies," we are ready to see America Great Again!""""@Gsimmons03Ginny: @realDonaldTrump ..Kaine is awful", Trump and Pence are the ticket..no more lies," we are ready to see America Great Again!""",Twitter for Android,Twitter for Android,,,,,,,,,,,
10/4/16,10:26:41 PM,Clinton’s Top Aides Were Mired In Conflict Of Interest At The State Department: https://t.co/wWfdaECtVu #VPDebate #BigLeagueTruth,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/4/16,10:23:01 PM,"@FLifeforce: @_CFJ_ @vine That is a reason to NOT Vote for Hillary Clinton. Vote for Liberty! Vote for @realDonaldTrump""""""@FLifeforce: @_CFJ_ @vine That is a reason to NOT Vote for Hillary Clinton. Vote for Liberty! Vote for @realDonaldTrump""""""""",Twitter for Android,Twitter for Android,,,,,,,,,,,,,,,
10/4/16,10:22:24 PM,.@HillaryClinton’s Careless Use Of A Secret Server Put National Security At Risk: https://t.co/OiAEMnrGcy #VPDebate #BigLeagueTruth,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/4/16,10:19:54 PM,CLINTON IS WEAK ON NORTH KOREA: https://t.co/8pRednmnFX #VPDebate,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/4/16,10:17:30 PM,RT @TeamTrump: Obama-Clinton FAILED foreign policy: -Bad nuclear deal -Ransom payment to leading state sponsor of terror -Sharing classifie…,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/4/16,10:17:20 PM,RT @TeamTrump: .@HillaryClinton & @timkaine think you're #Deplorables & #BasementDwellers. @realDonaldTrump & @mike_pence think you're PATR…,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/4/16,10:16:15 PM,CLINTON’S CLOSE TIES TO PUTIN DESERVE SCRUTINY: https://t.co/wPYm5vQoyt #VPDebate,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/4/16,10:15:21 PM,Sanctions Relief From Clinton-Obama Iran Nuclear Deal Likely Go to Terrorists: https://t.co/lM80JriF9k #BigLeagueTruth #VPDebate,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/4/16,10:13:40 PM,.@timkaine is wrong for defense: https://t.co/QN9qqoq1kH #BigLeagueTruth #VPDebate,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/4/16,10:12:23 PM,ICYMI: PENCE: I RAN A STATE THAT WORKED; KAINE RAN A STATE THAT FAILED. https://t.co/XuWaueNkH0,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/4/16,10:09:58 PM,.@timkaine is the ANTI-DEFENSE SENATOR. #VPDebate #BigLeagueTruth https://t.co/qWkvGFARA1,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/4/16,10:06:12 PM,"RT @TeamTrump: We need STRONG, BROAD-SHOULDERED leadership like @mike_pence & @realDonaldTrump in the White House! #VPDebate #BigLeagueTrut…",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/4/16,10:05:58 PM,CLINTON’S FLAILING SYRIA POLICY WAS JUDGED A FAILURE: https://t.co/ICZxn7Q3vZ #VPDebate,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/4/16,9:54:48 PM,RT @GOP: In @timkaine's own words __ #Debates2016 https://t.co/PMngoKHUjA,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/4/16,9:54:08 PM,.@mike_pence and I will defeat #ISIS. https://t.co/oCIIDwtptV #VPDebate,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/4/16,9:52:36 PM,WHAT THEY ARE SAYING ABOUT MIKE PENCE “DOMINATING” THE DEBATE: https://t.co/mUw9S5GgNM #VPDebate,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/4/16,9:50:48 PM,"I agree Mike - thank you to all of our law enforcement officers! #VPDebate Police officers are the best of us..."" @Mike_Pence"""" agree Mike - thank you to all of our law enforcem""",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
